MONTH,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_PERCENT,PH,PCH4,PCO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O
Jun,DAY,ENG,06/28/14,8:00,2.0,0.0,0.310,-134.165,0.122,31.200,32.000,1010.400,7.348,1.590,22.150,7.340,NA,NA,NA,5.772,1.306,1.989,1.431,0.3863,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,8:00,2.0,0.0,0.453,-95.717,0.113,31.200,32.000,1010.400,7.348,1.590,22.150,7.340,NA,NA,NA,6.150,0.961,3.167,2.088,0.3863,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,8:00,2.0,0.0,0.684,NA,0.173,31.200,32.000,1010.400,7.348,1.590,22.150,7.340,NA,NA,NA,6.175,0.929,4.762,3.140,0.3863,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,10:00,4.0,0.0,NA,NA,0.043,31.929,32.000,1009.900,12.587,2.502,35.247,7.360,NA,NA,NA,5.852,1.149,0.000,0.000,0.388017241,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,10:00,4.0,0.0,6.864,70.380,0.125,31.929,32.000,1009.900,12.587,2.502,35.247,7.360,NA,NA,NA,5.993,0.994,47.189,2.261,0.388017241,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,10:00,4.0,0.0,3.990,24.524,NA,31.929,32.000,1009.900,12.587,2.502,35.247,7.360,NA,NA,NA,6.122,1.021,28.063,1.345,0.388017241,NA,NA,NA,NA,NA,NA,NA
Jun,DAY,ENG,06/28/14,12:00,6.0,0.0,NA,NA,0.165,32.850,33.000,1008.800,5.720,3.277,46.869,7.370,126.300,110.382,0.374,5.690,1.127,0.000,0.000,0.38946875,0.326112282,2.404979933,3.025713975,1.954929003,4.940909264,193.0381294,0.597392676
Jun,DAY,ENG,06/28/14,12:00,6.0,0.0,0.149,86.806,0.117,32.850,33.000,1008.800,5.720,3.277,46.869,7.370,103.966,187.906,0.375,5.777,1.188,25.440,35.299,0.38946875,NA,2.404979933,3.025713975,1.954929003,4.06717267,328.6126257,0.599850851
Jun,DAY,ENG,06/28/14,12:00,6.0,0.0,0.149,429.254,NA,32.850,33.000,1008.800,5.720,3.277,46.869,7.370,2.489,391.019,0.373,5.897,0.860,1.003,1.392,0.38946875,NA,2.404979933,3.025713975,1.954929003,0.097377424,683.8178956,0.596458904
Jun,DAY,ENG,06/28/14,14:00,8.0,0.0,0.253,278.072,-0.105,33.665,33.600,1007.800,4.268,3.354,48.641,7.360,NA,NA,NA,5.657,1.229,1.658,1.749,0.388365714,NA,NA,NA,NA,NA,NA,NA
