MONTH,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_PERCENT,PH,PCH4,PCO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O
AugDry,NIGHT,ENG,08/09/14,22:00,0.0,3.0,20.811,-35.787,0.166,27.000,30.000,1007.600,3.990,0.416,5.657,7.330,NA,NA,NA,NA,NA,288.273,4.251,0.392,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,0:00,0.0,5.0,20.105,140.041,0.028,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,217.946,660.041,0.266,5.869,1.473,248.971,5.044,0.394,NA,0,2.07,1.525774937,6.896951128,694.5086576,-0.034699287
AugDry,NIGHT,ENG,08/10/14,0:00,0.0,5.0,5.048,15.245,-0.049,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,227.259,820.147,0.240,5.824,1.601,68.644,1.391,0.394,NA,0,2.07,1.525774937,7.200534068,1096.639441,-0.077853396
AugDry,NIGHT,ENG,08/10/14,0:00,0.0,5.0,3.551,-111.373,-0.010,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,2.093,429.881,0.336,6.035,1.378,49.360,1.000,0.394,NA,0,2.07,1.525774937,0.008156482,467.7368557,0.060592016
AugDry,NIGHT,ENG,08/10/14,0:00,0.0,5.0,7.133,53.448,-0.039,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,NA,NA,NA,NA,NA,98.845,2.003,0.394,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,2:00,0.0,7.0,NA,NA,NA,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,2:00,0.0,7.0,NA,NA,NA,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,2:00,0.0,7.0,NA,NA,NA,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,2:00,0.0,7.0,NA,NA,NA,26.000,30.000,1008.300,4.994,0.388,5.276,7.310,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,4:00,0.0,9.0,2.860,77.274,0.012,25.000,30.000,1007.700,6.313,0.689,9.311,7.340,NA,NA,NA,5.627,1.526,39.309,1.214,0.37676087,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,4:00,0.0,9.0,11.877,112.309,0.002,30.000,32.000,1006.400,6.313,0.689,9.311,7.340,NA,NA,NA,5.984,1.306,166.042,5.129,0.5012,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,4:00,0.0,9.0,NA,0.000,0.000,25.000,30.000,1007.700,6.313,0.689,9.311,7.340,NA,NA,NA,6.076,1.379,0.000,0.000,0.37676087,NA,NA,NA,NA,NA,NA,NA
AugDry,NIGHT,ENG,08/10/14,4:00,0.0,9.0,2.337,187.130,0.075,25.000,30.000,1007.700,6.313,0.689,9.311,7.340,NA,NA,NA,NA,NA,32.372,1.000,0.37676087,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,ENG,08/10/14,6:00,0.0,11.0,16.809,-93.330,-0.054,29.000,31.000,1008.300,7.146,0.415,5.575,7.380,NA,NA,NA,5.911,1.908,127.692,1.554,0.388910714,NA,NA,NA,NA,NA,NA,NA
